iter	Passed	Remaining
337	1354	2653
338	1358	2648
339	1361	2643
340	1365	2639
341	1369	2634
342	1373	2630
343	1376	2625
344	1380	2621
345	1384	2616
346	1388	2612
347	1392	2608
348	1396	2605
349	1400	2600
350	1404	2596
351	1408	2592
352	1412	2588
353	1415	2583
354	1419	2579
355	1423	2574
356	1426	2569
357	1429	2564
358	1434	2560
359	1437	2556
360	1441	2551
361	1445	2548
362	1449	2543
363	1453	2539
364	1457	2535
365	1461	2531
366	1464	2526
367	1468	2522
368	1472	2517
369	1476	2513
370	1479	2508
371	1483	2503
372	1486	2499
373	1490	2495
374	1494	2490
375	1498	2486
376	1502	2482
377	1505	2477
378	1509	2473
379	1513	2469
380	1518	2466
381	1521	2462
382	1525	2457
383	1529	2452
384	1533	2448
385	1536	2444
386	1540	2440
387	1544	2435
388	1547	2431
389	1551	2426
390	1555	2422
391	1558	2417
392	1562	2413
393	1566	2409
394	1569	2404
395	1573	2400
396	1577	2395
397	1581	2391
398	1585	2387
399	1588	2383
400	1592	2378
401	1595	2374
402	1599	2369
403	1603	2365
404	1607	2361
405	1611	2357
406	1614	2352
407	1618	2348
408	1622	2343
409	1625	2339
410	1629	2334
411	1632	2330
412	1636	2325
413	1640	2321
414	1644	2317
415	1648	2314
416	1653	2311
417	1656	2306
418	1661	2303
419	1665	2299
420	1668	2295
421	1672	2291
422	1676	2286
423	1679	2281
424	1683	2277
425	1686	2273
426	1690	2268
427	1694	2264
428	1697	2259
429	1701	2255
430	1706	2252
431	1709	2247
432	1714	2244
433	1718	2241
434	1722	2237
435	1726	2233
436	1729	2228
437	1733	2223
438	1736	2219
439	1740	2215
440	1744	2211
441	1748	2207
442	1752	2203
443	1755	2198
444	1759	2194
445	1763	2190
446	1767	2186
447	1771	2182
448	1774	2177
449	1778	2173
450	1781	2168
451	1785	2164
452	1789	2160
453	1792	2156
454	1796	2151
455	1800	2147
456	1804	2143
457	1807	2139
458	1811	2135
459	1815	2130
460	1818	2126
461	1822	2122
462	1826	2118
463	1830	2114
464	1833	2109
465	1837	2105
466	1841	2101
467	1845	2097
468	1850	2095
469	1855	2092
470	1859	2088
471	1864	2085
472	1868	2081
473	1872	2078
474	1877	2075
475	1881	2071
476	1886	2068
477	1890	2064
478	1895	2061
479	1901	2059
480	1905	2056
481	1909	2052
482	1913	2048
483	1917	2043
484	1921	2039
485	1924	2035
486	1929	2032
487	1932	2027
488	1936	2023
489	1939	2019
490	1943	2015
491	1947	2010
492	1951	2006
493	1954	2002
494	1959	1999
495	1964	1996
496	1968	1992
497	1973	1989
498	1977	1985
499	1982	1982
500	1986	1978
501	1991	1975
502	1995	1971
503	2000	1968
504	2004	1964
505	2007	1960
506	2011	1955
507	2014	1951
508	2018	1947
509	2022	1943
510	2026	1939
511	2029	1934
512	2033	1930
513	2037	1926
514	2041	1922
515	2045	1918
516	2048	1913
517	2052	1909
518	2056	1905
519	2059	1901
520	2063	1897
521	2067	1892
522	2071	1888
523	2075	1885
524	2079	1881
525	2084	1878
526	2089	1874
527	2093	1871
528	2098	1868
529	2102	1864
530	2107	1861
531	2111	1857
532	2116	1854
533	2119	1849
534	2123	1846
535	2127	1841
536	2131	1837
537	2134	1833
538	2138	1828
539	2142	1824
540	2146	1820
541	2149	1816
542	2153	1812
543	2157	1808
544	2161	1804
545	2165	1800
546	2168	1795
547	2172	1791
548	2176	1787
549	2179	1783
550	2183	1779
551	2186	1774
552	2191	1771
553	2195	1767
554	2200	1764
555	2205	1760
556	2210	1757
557	2214	1754
558	2219	1750
559	2223	1747
560	2227	1743
561	2232	1739
562	2235	1735
563	2239	1731
564	2242	1726
565	2246	1722
566	2250	1718
567	2253	1714
568	2257	1709
569	2260	1705
570	2264	1701
571	2268	1697
572	2272	1693
573	2276	1689
574	2279	1685
575	2284	1681
576	2288	1677
577	2292	1673
578	2295	1669
579	2299	1665
580	2303	1660
581	2307	1656
582	2310	1652
583	2315	1649
584	2319	1645
585	2324	1642
586	2328	1638
587	2333	1635
588	2337	1631
589	2341	1627
590	2346	1623
591	2351	1620
592	2355	1616
593	2360	1613
594	2364	1609
595	2368	1605
596	2371	1600
597	2375	1596
598	2378	1592
599	2382	1588
600	2386	1584
601	2390	1580
602	2394	1576
603	2398	1572
604	2401	1568
605	2405	1564
606	2409	1560
607	2413	1556
608	2417	1551
609	2420	1547
610	2424	1543
611	2428	1539
612	2432	1535
613	2436	1531
614	2439	1527
615	2443	1523
616	2447	1519
617	2450	1514
618	2454	1510
619	2458	1506
620	2462	1502
621	2465	1498
622	2469	1494
623	2473	1490
624	2477	1486
625	2480	1481
626	2484	1477
627	2487	1473
628	2491	1469
629	2495	1465
630	2498	1461
631	2502	1457
632	2505	1452
633	2509	1448
634	2514	1445
635	2518	1441
636	2521	1436
637	2525	1432
638	2529	1428
639	2533	1424
640	2536	1420
641	2540	1416
642	2544	1412
643	2547	1408
644	2551	1404
645	2555	1400
646	2559	1396
647	2562	1392
648	2566	1387
649	2569	1383
650	2573	1379
651	2578	1376
652	2582	1372
653	2586	1368
654	2589	1364
655	2594	1360
656	2597	1356
657	2601	1352
658	2604	1347
659	2608	1344
660	2612	1340
661	2616	1335
662	2620	1332
663	2624	1328
664	2628	1324
665	2631	1319
666	2635	1315
667	2639	1311
668	2643	1308
669	2647	1303
670	2650	1299
671	2654	1295
672	2657	1291
673	2661	1287
674	2665	1283
675	2669	1279
676	2672	1275
677	2676	1271
678	2680	1267
679	2684	1263
680	2688	1259
681	2691	1255
682	2697	1251
683	2701	1248
684	2705	1243
685	2709	1240
686	2713	1236
687	2717	1232
688	2721	1228
689	2725	1224
690	2728	1220
691	2732	1216
692	2736	1212
693	2740	1208
694	2743	1204
695	2747	1200
696	2751	1196
697	2755	1192
698	2758	1187
699	2761	1183
700	2765	1179
701	2769	1175
702	2773	1171
703	2777	1167
704	2781	1163
705	2784	1159
706	2788	1155
707	2791	1151
708	2795	1147
709	2799	1143
710	2802	1139
711	2806	1135
712	2809	1131
713	2813	1126
714	2817	1122
715	2820	1118
716	2825	1115
717	2829	1111
718	2833	1107
719	2836	1103
720	2840	1099
721	2844	1095
722	2848	1091
723	2852	1087
724	2855	1083
725	2860	1079
726	2864	1075
727	2868	1071
728	2873	1068
729	2877	1064
730	2881	1060
731	2885	1056
732	2889	1052
733	2893	1048
734	2896	1044
735	2900	1040
736	2904	1036
737	2908	1032
738	2913	1029
739	2918	1025
740	2923	1021
741	2927	1017
742	2931	1013
743	2936	1010
744	2940	1006
745	2945	1003
746	2950	999
747	2954	995
748	2958	991
749	2962	987
750	2965	983
751	2969	979
752	2973	975
753	2977	971
754	2980	967
755	2984	963
756	2987	959
757	2991	955
758	2995	951
759	2998	946
760	3001	942
761	3006	938
762	3010	934
763	3013	930
764	3017	926
765	3021	923
766	3025	919
767	3029	915
768	3033	911
769	3037	907
770	3040	903
771	3044	899
772	3048	895
773	3052	891
774	3055	887
775	3059	883
776	3063	879
777	3067	875
778	3070	871
779	3074	867
780	3078	863
781	3082	859
782	3086	855
783	3090	851
784	3094	847
785	3098	843
786	3101	839
787	3105	835
788	3108	831
789	3112	827
790	3116	823
791	3120	819
792	3123	815
793	3126	811
794	3130	807
795	3133	803
796	3137	799
797	3141	795
798	3145	791
799	3148	787
800	3152	783
801	3156	779
802	3160	775
803	3163	771
804	3167	767
805	3171	763
806	3174	759
807	3178	755
808	3181	751
809	3185	747
810	3189	743
811	3192	739
812	3196	735
813	3200	731
814	3204	727
815	3208	723
816	3212	719
817	3216	715
818	3220	711
819	3224	707
820	3228	703
821	3231	699
822	3236	696
823	3239	692
824	3243	688
825	3247	684
826	3250	679
827	3253	675
828	3257	671
829	3261	668
830	3265	664
831	3269	660
832	3273	656
833	3276	652
834	3280	648
835	3283	644
836	3287	640
837	3290	636
838	3294	632
839	3297	628
840	3300	624
841	3304	620
842	3307	616
843	3311	611
844	3314	607
845	3317	603
846	3320	599
847	3324	595
848	3328	591
849	3331	587
850	3334	583
851	3339	580
852	3342	576
853	3346	572
854	3349	568
855	3353	564
856	3356	560
857	3360	556
858	3363	552
859	3367	548
860	3370	544
861	3374	540
862	3377	536
863	3382	532
864	3386	528
865	3390	524
866	3393	520
867	3396	516
868	3400	512
869	3403	508
870	3407	504
871	3410	500
872	3414	496
873	3417	492
874	3421	488
875	3424	484
876	3427	480
877	3430	476
878	3434	472
879	3437	468
880	3440	464
881	3444	460
882	3448	456
883	3452	453
884	3457	449
885	3460	445
886	3463	441
887	3466	437
888	3470	433
889	3473	429
890	3476	425
891	3479	421
892	3482	417
893	3486	413
894	3491	409
895	3495	405
896	3498	401
897	3502	397
898	3506	393
899	3511	390
900	3516	386
901	3521	382
902	3525	378
903	3529	374
904	3533	370
905	3536	366
906	3540	363
907	3544	359
908	3547	355
909	3551	351
910	3555	347
911	3558	343
912	3561	339
913	3565	335
914	3569	331
915	3573	327
916	3577	323
917	3580	319
918	3584	315
919	3588	312
920	3592	308
921	3595	304
922	3599	300
923	3603	296
924	3607	292
925	3610	288
926	3614	284
927	3617	280
928	3621	276
929	3625	272
930	3628	268
931	3632	265
932	3636	261
933	3640	257
934	3643	253
935	3647	249
936	3651	245
937	3655	241
938	3659	237
939	3662	233
940	3666	229
941	3669	225
942	3674	222
943	3679	218
944	3682	214
945	3686	210
946	3690	206
947	3694	202
948	3698	198
949	3702	194
950	3706	190
951	3710	187
952	3715	183
953	3719	179
954	3724	175
955	3728	171
956	3732	167
957	3737	163
958	3741	159
959	3744	156
960	3748	152
961	3752	148
962	3755	144
963	3759	140
964	3763	136
965	3767	132
966	3771	128
967	3774	124
968	3779	120
969	3783	117
970	3786	113
971	3790	109
972	3794	105
973	3798	101
974	3802	97
975	3806	93
976	3810	89
977	3814	85
978	3817	81
979	3821	77
980	3825	74
981	3829	70
982	3833	66
983	3836	62
984	3840	58
985	3844	54
986	3847	50
987	3851	46
988	3855	42
989	3859	38
990	3862	35
991	3866	31
992	3869	27
993	3873	23
994	3876	19
995	3879	15
996	3884	11
997	3888	7
998	3891	3
999	3895	0
